,month,line_name,subway_station,city,transfer_line,대합실면적,승강장면적,congestion_total,congestion_mean,get_in_total,get_out_total,peak_time_passengers_total,non_peak_time_passengers_total,passengers_total,peak_time_mean,non_peak_time_mean,passengers_mean,latitude,longitude
0,202111,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,83041,77394,67207,93228,160435,11201.166666666666,5179.333333333333,6684.791666666667,,
1,202112,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,76995,72576,62486,87085,149571,10414.333333333334,4838.055555555556,6232.125,,
2,202201,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,73086,68002,57528,83560,141088,9588.0,4642.222222222223,5878.666666666667,,
3,202202,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,63757,59900,50710,72947,123657,8451.666666666666,4052.6111111111113,5152.375,,
4,202203,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,88702,83991,69357,103336,172693,11559.5,5740.888888888889,7195.541666666667,,
5,202204,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,99176,92976,77719,114433,192152,12953.166666666666,6357.388888888889,8006.333333333333,,
6,202205,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,108755,102512,83727,127540,211267,13954.5,7085.555555555556,8802.791666666666,,
7,202206,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,91164,84938,72419,103683,176102,12069.833333333334,5760.166666666667,7337.583333333333,,
8,202207,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,84074,76705,69041,91738,160779,11506.833333333334,5096.555555555556,6699.125,,
9,202208,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,80384,74565,67232,87717,154949,11205.333333333334,4873.166666666667,6456.208333333333,,
10,202209,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,112492,107136,92477,127151,219628,15412.833333333334,7063.944444444444,9151.166666666666,,
11,202210,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,114239,108826,91060,132005,223065,15176.666666666666,7333.611111111111,9294.375,,
12,202211,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,116369,112431,95200,133600,228800,15866.666666666666,7422.222222222223,9533.333333333334,,
13,202212,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,96405,92515,76132,112788,188920,12688.666666666666,6266.0,7871.666666666667,,
14,202301,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,77965,72272,61375,88862,150237,10229.166666666666,4936.777777777777,6259.875,,
15,202302,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,81744,75418,63897,93265,157162,10649.5,5181.388888888889,6548.416666666667,,
16,202303,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,125874,121383,101854,145403,247257,16975.666666666668,8077.944444444444,10302.375,,
17,202304,우이신설선,4.19민주묘지,강북구,1.0,,,0.0,,116313,113105,94071,135347,229418,15678.5,7519.277777777777,9559.083333333334,,
