연번,호선,고유역번호(외부역코드),역명,위도,경도,작성일자
93,3,340,가락시장,37.492368,127.118101,2004.7.7
254,7,2748,가산디지털단지,37.480376,126.882704,2000.11.30
31,2,222,강남,37.497958,127.027539,1982.12.30
238,7,2732,강남구청,37.517185,127.04122,2001.3.1
160,5,2549,강동,37.53581,127.13249,1997.10.31
261,8,2813,강동구청,37.530348,127.120461,1999.11.30
23,2,214,강변(동서울터미널),37.535161,127.094684,1980.8.20
173,5,2562,강일,37.557521,127.176018,2020.3.31
170,5,2559,개롱,37.498097,127.134817,1996.6.30
123,5,2512,개화산,37.572458,126.806838,1996.2.29
171,5,2560,거여,37.493208,127.143983,1996.6.30
21,2,212,건대입구,37.540408,127.069231,1980.4.20
70,3,317,경복궁(정부서울청사),37.575844,126.973576,1985.10.18
94,3,341,경찰병원,37.495754,127.124198,2010.4.30
164,5,2553,고덕,37.555002,127.154214,1996.2.15
208,6,2642,고려대(종암),37.59034,127.03626,2001.12.31
82,3,329,고속터미널,37.504953,127.004916,1983.9.17
141,5,2530,공덕,37.544005,126.951058,1997.2.28
224,7,2718,공릉(서울과학기술대),37.625642,127.072969,1996.11.30
158,5,2547,광나루(장신대),37.545301,127.103478,1996.2.15
256,7,2750,광명사거리,37.47927,126.854854,2000.11.30
145,5,2534,광화문(세종문화회관),37.570545,126.976568,1997.2.26
192,6,2626,광흥창(서강),37.547464,126.931971,2001.4.30
32,2,223,교대(법원.검찰청),37.493957,127.014631,1982.12.20
41,2,232,구로디지털단지,37.485005,126.902626,1984.3.31
183,6,2617,구산,37.611223,126.917246,2001.4.9
22,2,213,구의(광진구청),37.536857,127.085024,1980.8.9
63,3,310,구파발,37.636612,126.918827,1985.7.12
156,5,2545,군자(능동),37.557102,127.079559,1996.2.1
162,5,2551,굽은다리(강동구민회관앞),37.545442,127.142844,1996.2.15
77,3,324,금호,37.548269,127.015785,1985.10.18
161,5,2550,길동,37.538022,127.140085,1996.2.15
104,4,417,길음,37.604087,127.025353,1985.4.20
124,5,2513,김포공항,37.56217,126.801273,1996.2.29
61,2,200,까치산,37.53181,126.846706,1996.2.15
36,2,227,낙성대(강감찬),37.47693,126.963783,1983.11.30
253,7,2747,남구로,37.486181,126.887372,2000.11.30
84,3,331,남부터미널(예술의전당),37.48494,127.016289,1985.10.18
245,7,2739,남성,37.484688,126.971108,2000.12.11
270,8,2828,남위례,37.462839,127.139047,2021.12.31
121,4,434,남태령,37.464339,126.989081,1985.10.18
272,8,2823,남한산성입구,37.451568,127.159845,1996.10.31
243,7,2737,내방,37.48764,126.993541,2001.1.12
98,4,411,노원,37.656274,127.063183,1985.5.20
66,3,313,녹번,37.600882,126.935758,1985.7.12
197,6,2631,녹사평(용산구청),37.53469,126.98665,2001.5.15
240,7,2734,논현,37.511108,127.021385,2001.1.10
