연번,호선,역번호,역명,대합실면적,승강장면적
1,1,150,서울역,8725,2080
2,1,151,시청,6863,3784
3,1,152,종각,7737.43,2672.81
4,1,153,종로3가,5628,3683
5,1,154,종로5가,7822,2208
6,1,155,동대문,3400,2090
7,1,156,동묘앞,5700.56,4194.19
8,1,157,신설동,4164,3076
9,1,158,제기동,5105,2815
10,1,159,청량리,5354,1771
11,2,201,시청,9008,3553
12,2,202,을지로입구,7362.26,3046.4
13,2,203,을지로3가,4522,2664
14,2,204,을지로4가,4121,2501
15,2,205,동대문역사문화공원,4972,1568
16,2,206,신당,3701,2061
17,2,207,상왕십리,4041,1917
18,2,208,왕십리,7275,2602
19,2,209,한양대,3807,2167
20,2,210,뚝섬,4961,3423
21,2,211,성수,6807,2478
22,2,212,건대입구,3969,2574
23,2,213,구의,3236,2348
24,2,214,강변,1791,2362
25,2,215,잠실나루,2408,2283
26,2,216,잠실,6284,4048
27,2,217,잠실새내,4141,2562
28,2,218,종합운동장,13442,5064
29,2,219,삼성,4777,1670
30,2,220,선릉,4153,2333
31,2,221,역삼,6173.89,2179
32,2,222,강남,4018,2374
33,2,223,교대,6307,3005
34,2,224,서초,5202,2389
35,2,225,방배,3796,2155
36,2,226,사당,7285,5721
37,2,227,낙성대,3631,1994
38,2,228,서울대입구,4679,1750
39,2,229,봉천,3491,1743
40,2,230,신림,4309,1957
41,2,231,신대방,3342,2479
42,2,232,구로디지털단지,3411,2343
43,2,233,대림,4009,2469
44,2,234,신도림,11880,7175
45,2,235,문래,3916,2297
46,2,236,영등포구청,4283,2332
47,2,237,당산,3635,2750
48,2,238,합정,7263,4978
49,2,239,홍대입구,5829,1892
50,2,240,신촌,5570,2050
51,2,241,이대,4276,2215
52,2,242,아현,4984,1483
53,2,243,충정로,5165.95,2398
54,2,244,용답,625,798
55,2,245,신답,700,1503
56,2,250,용두,3180,2910
57,2,246,신설동,2728,1208
58,2,247,도림천,2252.98,1306
59,2,248,양천구청,2337,2766
60,2,249,신정네거리,5095.92,1765
61,2,,까치산,0,791
62,3,309,지축,645,938
63,3,310,구파발,3299,1858
64,3,311,연신내,3277,1649
65,3,312,불광,4263,2123
66,3,313,녹번,3249,1628
67,3,314,홍제,7220,1876
68,3,315,무악재,4442.61,1798.2
69,3,316,독립문,3690.5,1603.77
70,3,317,경복궁,8561.17,2653
71,3,318,안국,8077.64,2361
72,3,319,종로3가,11269.75,1422.007
73,3,320,을지로3가,6720,1640
74,3,,충무로,0,3860
75,3,322,동대입구,5768.76,2015
76,3,323,약수,3538.48,1640
77,3,324,금호,3284,1816
